LOCATION;TIME;Education
LVA;2010;61.7
LVA;2011;60.2
LVA;2012;59.9
LVA;2013;58.3
LVA;2014;56.4
LVA;2015;56.2
LVA;2016;55.3
LVA;2017;53.7
MEX;2007;16
MEX;2008;16.2
MEX;2009;17
MEX;2010;17.4
MEX;2011;18.1
MEX;2012;18.3
MEX;2013;18.6
MEX;2014;19.1
MEX;2015;19.4
MEX;2016;19.8
MEX;2017;20.2
NLD;2007;42.4
NLD;2008;41.1
NLD;2009;40.6
NLD;2010;40.6
NLD;2011;40.2
NLD;2012;39
NLD;2013;41.9
NLD;2014;41.5
NLD;2015;41.1
NLD;2016;41.1
NLD;2017;41.2
NOR;2007;44.7
NOR;2008;44.7
NOR;2009;44
NOR;2010;43.3
NOR;2011;43.8
NOR;2012;43.5
NOR;2013;42.6
NOR;2014;40.2
NOR;2015;39.7
NOR;2016;39.2
NOR;2017;38.8
NZL;2014;38.4
NZL;2015;40.7
NZL;2016;40.3
NZL;2017;41.2
OAV;2007;45.1
OAV;2008;45
OAV;2009;44.7
OAV;2010;44.8
OAV;2011;44.5
OAV;2012;44.5
OAV;2013;44.3
OAV;2014;43.6
OAV;2015;43.4
OAV;2016;43.1
OAV;2017;42.5
POL;2007;67.6
POL;2008;67.6
POL;2009;66.8
POL;2010;66
POL;2011;65.6
POL;2012;65.1
POL;2013;64.4
POL;2014;63.5
POL;2015;63
POL;2016;62.6
POL;2017;62.2
PRT;2007;13.8
PRT;2008;13.9
PRT;2009;15.2
PRT;2010;16.5
PRT;2011;17.8
PRT;2012;19.1
PRT;2013;20.7
PRT;2014;21.6
PRT;2015;22.3
PRT;2016;23.1
PRT;2017;23.9
RUS;2010;42.4
RUS;2011;42.2
RUS;2012;42.5
RUS;2013;42
RUS;2014;41.8
RUS;2015;41.2
RUS;2016;40.9
RUS;2017;38.5
SAU;2014;31.8
SAU;2016;32.9
SVK;2007;74.7
SVK;2008;75.2
SVK;2009;75.2
SVK;2010;73.6
SVK;2011;72.6
SVK;2012;72.7
SVK;2013;71.9
SVK;2014;70.5
SVK;2015;70.1
SVK;2016;69.8
SVK;2017;68.2
SVN;2007;59.6
SVN;2008;59.4
SVN;2009;60
SVN;2010;59.6
SVN;2011;59.4
SVN;2012;58.5
SVN;2013;57.6
SVN;2014;57.1
SVN;2015;56.6
SVN;2016;56.6
SVN;2017;53.4
SWE;2007;53.3
SWE;2008;53
SWE;2009;52.7
SWE;2010;52.4
SWE;2011;51.9
SWE;2012;51.8
SWE;2013;51.1
SWE;2014;42.9
SWE;2015;42.2
SWE;2016;41.6
SWE;2017;41.1
TUR;2007;18.3
TUR;2008;18.3
TUR;2009;18.3
TUR;2010;18.1
TUR;2011;18.1
TUR;2012;18.6
TUR;2013;18.9
TUR;2014;18.9
TUR;2015;19
TUR;2016;19.2
TUR;2017;19.3
USA;2007;47.6
USA;2008;47.6
USA;2009;47.4
USA;2010;47.3
USA;2011;46.8
USA;2012;46.3
USA;2013;45.7
USA;2014;45.3
USA;2015;44.9
USA;2016;44.5
USA;2017;44.3
ZAF;2008;56.7
ZAF;2009;58.8
ZAF;2010;59.7
ZAF;2011;60.7
ZAF;2012;62.2
ZAF;2013;62.9
ZAF;2014;64.3
ZAF;2015;63.7
ZAF;2016;64.7
ZAF;2017;65.8
