Location;Time;Happiness
TUN;2011;4.9
TUN;2012;4.5
TUN;2013;5.2
TUN;2014;4.8
TUN;2015;5.1
TUN;2016;4.5
TUN;2017;4.1
TUR;2007;5.6
TUR;2008;5.1
TUR;2009;5.2
TUR;2010;5.5
TUR;2011;5.3
TUR;2012;5.3
TUR;2013;4.9
TUR;2014;5.6
TUR;2015;5.5
TUR;2016;5.3
TUR;2017;5.6
TWN;2008;5.5
TWN;2010;6.2
TWN;2011;6.3
TWN;2012;6.1
TWN;2013;6.3
TWN;2014;6.4
TWN;2015;6.5
TWN;2016;6.5
TWN;2017;6.4
TZA;2007;4.3
TZA;2008;4.4
TZA;2009;3.4
TZA;2010;3.2
TZA;2011;4.1
TZA;2012;4
TZA;2013;3.9
TZA;2014;3.5
TZA;2015;3.7
TZA;2016;2.9
TZA;2017;3.3
UGA;2007;4.5
UGA;2008;4.6
UGA;2009;4.6
UGA;2010;4.2
UGA;2011;4.8
UGA;2012;4.3
UGA;2013;3.7
UGA;2014;3.8
UGA;2015;4.2
UGA;2016;4.2
UGA;2017;4
UKR;2007;5.3
UKR;2008;5.2
UKR;2009;5.2
UKR;2010;5.1
UKR;2011;5.1
UKR;2012;5
UKR;2013;4.7
UKR;2014;4.3
UKR;2015;4
UKR;2016;4
UKR;2017;4.3
URY;2007;5.7
URY;2008;5.7
URY;2009;6.3
URY;2010;6.1
URY;2011;6.6
URY;2012;6.4
URY;2013;6.4
URY;2014;6.6
URY;2015;6.6
URY;2016;6.2
URY;2017;6.3
USA;2007;7.5
USA;2008;7.3
USA;2009;7.2
USA;2010;7.2
USA;2011;7.1
USA;2012;7
USA;2013;7.2
USA;2014;7.2
USA;2015;6.9
USA;2016;6.8
USA;2017;7
UZB;2008;5.3
UZB;2009;5.3
UZB;2010;5.1
UZB;2011;5.7
UZB;2012;6
UZB;2013;5.9
UZB;2014;6
UZB;2015;6
UZB;2016;5.9
UZB;2017;6.4
VEN;2008;6.3
VEN;2009;7.2
VEN;2010;7.5
VEN;2011;6.6
VEN;2012;7.1
VEN;2013;6.6
VEN;2014;6.1
VEN;2015;5.6
VEN;2016;4
VEN;2017;5.1
VNM;2007;5.4
VNM;2008;5.5
VNM;2009;5.3
VNM;2010;5.3
VNM;2011;5.8
VNM;2012;5.5
VNM;2013;5
VNM;2014;5.1
VNM;2015;5.1
VNM;2016;5.1
VNM;2017;5.2
YEM;2007;4.5
YEM;2009;4.8
YEM;2010;4.4
YEM;2011;3.7
YEM;2012;4.1
YEM;2013;4.2
YEM;2014;4
YEM;2015;3
YEM;2016;3.8
YEM;2017;3.3
ZAF;2007;5.2
ZAF;2008;5.3
ZAF;2009;5.2
ZAF;2010;4.7
ZAF;2011;4.9
ZAF;2012;5.1
ZAF;2013;3.7
ZAF;2014;4.8
ZAF;2015;4.9
ZAF;2016;4.8
ZAF;2017;4.5
ZMB;2007;4
ZMB;2008;4.7
ZMB;2009;5.3
ZMB;2011;5
ZMB;2012;5
ZMB;2013;5.2
ZMB;2014;4.3
ZMB;2015;4.8
ZMB;2016;4.3
ZMB;2017;3.9
ZWE;2007;3.3
ZWE;2008;3.2
ZWE;2009;4.1
ZWE;2010;4.7
ZWE;2011;4.8
ZWE;2012;5
ZWE;2013;4.7
ZWE;2014;4.2
ZWE;2015;3.7
ZWE;2016;3.7
ZWE;2017;3.6
