LOCATION;TIME;GDP;Social spending
JPN;2013;39008.4;8149.7
JPN;2014;39183.5;8116.2
JPN;2015;40406.1;8214.1
KOR;2007;27822.1;1986
KOR;2008;28655.8;2172
KOR;2009;28325.1;2421
KOR;2010;30365.3;2495.8
KOR;2011;31228.3;2545.1
KOR;2012;32097.1;2769.5
KOR;2013;32615.7;3018.5
KOR;2014;33587.4;3233.5
KOR;2015;35760.7;3493.3
KOR;2016;37142.6;3687
KOR;2017;38839.4;3824.1
LTU;2007;19095.6;3215.3
LTU;2008;20744;3723.5
LTU;2009;18145.9;4226.8
LTU;2010;20090.7;3899.7
LTU;2011;22854.3;3789.1
LTU;2012;24658.1;3779.6
LTU;2013;26660.6;3713.9
LTU;2014;28174.3;3901.2
LTU;2015;28910.3;4084.3
LUX;2007;83858.2;18448.9
LUX;2008;86592;19423.1
LUX;2009;82206.4;19988
LUX;2010;85514.9;19806.9
LUX;2011;91814;18173
LUX;2012;91526.7;19116.4
LUX;2013;95246.1;19474.1
LUX;2014;100933.6;19496.7
LUX;2015;102817.3;19427.6
LVA;2007;18123.6;2339.5
LVA;2008;19428.6;2679.7
LVA;2009;16869.3;3250.6
LVA;2010;17560.8;3427.3
LVA;2011;19781.8;3160.7
LVA;2012;21259.8;3087.1
LVA;2013;22674.5;3226.8
LVA;2014;23802.4;3282.5
LVA;2015;24726.2;3481.5
MEX;2007;14233;986.3
MEX;2008;14885.9;1054.6
MEX;2009;14532.4;1067.1
MEX;2010;15257.7;1124.1
MEX;2011;16546.6;1128.1
MEX;2012;17220.1;1157.6
MEX;2013;17461.8;1213
MEX;2014;18167.5;1234.1
MEX;2015;18438;1280
MEX;2016;18968.9;1276.3
NLD;2007;43895.9;7550.6
NLD;2008;46419;7258.5
NLD;2009;44567.1;7667.5
NLD;2010;45041.4;7922.2
NLD;2011;46599.2;7999.3
NLD;2012;47272;8094.3
NLD;2013;49242.8;8160.9
NLD;2014;49233.2;8088
NLD;2015;50301.8;8069.1
NOR;2007;55878.3;11868.7
NOR;2008;61719.3;11547.5
NOR;2009;55372.4;13089.7
NOR;2010;57918;12780.7
NOR;2011;62077.8;12431.9
NOR;2012;65349.2;12560.9
NOR;2013;66956.3;12813.9
NOR;2014;65895.7;13473
NOR;2015;60357.3;14711.2
NZL;2007;29308.2;5830.2
NZL;2008;29782.1;6124.9
NZL;2009;30590.2;6504.1
NZL;2010;31164.9;6416.6
NZL;2011;32667.5;6420.6
NZL;2012;32912.1;6575.1
NZL;2013;36074.1;6425.9
NZL;2014;37060.9;6592.4
NZL;2015;37158.2;6612.5
NZL;2016;38783.7;6600.3
NZL;2017;40120.5;6536.7
OEC;2007;34064.6;6490.1
OEC;2008;34928.8;6726.8
OEC;2009;33982;7132.9
OEC;2010;35277.6;7203.4
OEC;2011;36668.4;7171.4
OEC;2012;37644;7232.7
OEC;2013;39003.5;7314.9
OEC;2014;40162.6;7404.3
OEC;2015;41339.8;7071.1
POL;2007;16790;3674.6
POL;2008;18315.1;3966.8
POL;2009;19080.7;4259.4
POL;2010;20789.2;4292.7
POL;2011;22576.2;4247.8
POL;2012;23542;4340.5
POL;2013;24422.8;4612
POL;2014;25298;4735
PRT;2007;25708.2;6012.6
PRT;2008;26665.8;6142.4
PRT;2009;26464.4;6586.4
PRT;2010;27259.8;6689.8
PRT;2011;26769.4;6554.3
PRT;2012;26438.1;6351.4
PRT;2013;27936;6583.7
PRT;2014;28742.3;6546.9
PRT;2015;29668.8;6418.8
SVK;2007;21079.1;3635.5
SVK;2008;23574.9;3847.1
SVK;2009;22925.8;4308.2
SVK;2010;24785.1;4465.7
SVK;2011;25836.3;4538.5
SVK;2012;26654;4646.6
SVK;2013;27899.6;4758.6
SVK;2014;28928.2;4902.3
SVK;2015;29699.5;5005.8
SVN;2007;27595.5;5761.6
SVN;2008;29625.9;5987.4
SVN;2009;27449.2;6187.2
SVN;2010;27736.1;6495.2
SVN;2011;28804.7;6555.5
SVN;2012;28906.4;6374.6
SVN;2013;29802.7;6371.4
SVN;2014;30847.3;6345.8
SVN;2015;31649;6364.5
SWE;2007;40592.8;10882.1
SWE;2008;41971.8;10765.5
SWE;2009;40156.5;10945.8
SWE;2010;42179.5;10929.3
SWE;2011;44503.7;10854.2
SWE;2012;45304.3;11128.4
SWE;2013;46138.4;11452.6
SWE;2014;47045.7;11476.3
SWE;2015;48974.9;11664.1
TUR;2007;14727.4;1879.6
TUR;2008;15910.7;1906.2
TUR;2009;15335.6;2101.8
TUR;2010;17231.7;2131.8
TUR;2011;19445.1;2247.8
TUR;2012;20473.4;2354.3
TUR;2013;22204.9;2482.5
TUR;2014;23982.6;2558.5
TUR;2015;25727.6;2656.9
TUR;2016;26329.8;2936.5
USA;2007;47902.1;7900.3
USA;2008;48311.2;8158
USA;2009;47028.2;8915.4
USA;2010;48393.6;9317.3
USA;2011;49800.3;9277.2
USA;2012;51521.5;9275.9
USA;2013;53016.3;9364.7
USA;2014;54952.5;9505.7
USA;2015;56717.9;9734.4
USA;2016;57821.7;9875.2
