alcohol,average_wages,cancer,employment_rate,happiness,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time,hours_worked,gdp,education
9.5,35.2,187.8,71.6,7.3,82.4,20.8,AUS,63.4,1683.3,,8095.5,12.5,2014.0,1683.27,47638.633438,77.104164
9.7,36.1,190.4,72.2,7.3,82.5,20.9,AUS,,1683.5,,8328.1,12.9,2015.0,1683.55,1127712.5423,79.019104
9.7,36.1,190.4,72.2,7.3,82.5,20.9,AUS,,1683.5,,8328.1,12.9,2015.0,1683.55,47351.047292,79.019104
9.4,36.2,185,72.4,7.3,82.5,20.9,AUS,,1673.4,12.4,8029.1,11.9,2016.0,1673.4,1215897.6861,79.932648
9.4,36.2,185,72.4,7.3,82.5,20.9,AUS,,1673.4,12.4,8029.1,11.9,2016.0,1673.4,50262.606438999996,79.932648
,35.6,,73,7.3,82.6,21,AUS,56.4,1674.9,,,,2017.0,1674.9,1279147.3915,80.987341
,35.6,,73,7.3,82.6,21,AUS,56.4,1674.9,,,,2017.0,1674.9,51993.845657,80.987341
12.9,54.8,207.1,69.9,,80.3,19.2,AUT,,1612,,10695.2,14.6,2007.0,1612.0,326780.2903,79.937111
12.9,54.8,207.1,69.9,,80.3,19.2,AUT,,1612,,10695.2,14.6,2007.0,1612.0,39393.953567000004,79.937111
12.4,54.7,212,70.8,7.2,80.5,19.4,AUT,,1605,,11001.9,14.1,2008.0,1605.0,343812.9764,80.879913
12.4,54.7,212,70.8,7.2,80.5,19.4,AUT,,1605,,11001.9,14.1,2008.0,1605.0,41316.022642,80.879913
12.1,54.7,206.8,70.3,,80.4,19.4,AUT,,1564,,11370.2,14.1,2009.0,1564.0,341463.0176,81.645021
12.1,54.7,206.8,70.3,,80.4,19.4,AUT,,1564,,11370.2,14.1,2009.0,1564.0,40935.528801,81.645021
12.5,54.6,204,70.8,7.3,80.7,19.6,AUT,,1557,,11592.2,13.9,2010.0,1557.0,351313.6961,82.352505
12.5,54.6,204,70.8,7.3,80.7,19.6,AUT,,1557,,11592.2,13.9,2010.0,1557.0,42017.796538999995,82.352505
12.2,54.4,202.9,71.1,7.5,81.1,19.9,AUT,,1562,,11538.8,14.1,2011.0,1562.0,373031.477,82.363171
12.2,54.4,202.9,71.1,7.5,81.1,19.9,AUT,,1562,,11538.8,14.1,2011.0,1562.0,44469.209642,82.363171
12.4,54.2,201.9,71.4,7.4,81,19.7,AUT,,1540,,11723.2,13.7,2012.0,1540.0,391635.1762,82.91647
12.4,54.2,201.9,71.4,7.4,81,19.7,AUT,,1540,,11723.2,13.7,2012.0,1540.0,46477.655075,82.91647
12,53.2,197.1,71.4,7.5,81.2,19.9,AUT,,1525,,11829.5,13.6,2013.0,1525.0,406370.2445,82.971998
12,53.2,197.1,71.4,7.5,81.2,19.9,AUT,,1525,,11829.5,13.6,2013.0,1525.0,47936.677963,82.971998
12.4,54,197.2,71.1,6.9,81.6,20.1,AUT,46.7,1516,24.3,11930,13.9,2014.0,1516.0,417059.5187,83.856001
12.4,54,197.2,71.1,6.9,81.6,20.1,AUT,46.7,1516,24.3,11930,13.9,2014.0,1516.0,48813.534409,83.856001
11.6,54.1,192.1,71.1,7.1,81.3,19.7,AUT,,1500,,11926.1,12.9,2015.0,1500.0,431091.5577,84.648695
11.6,54.1,192.1,71.1,7.1,81.3,19.7,AUT,,1500,,11926.1,12.9,2015.0,1500.0,49955.456118,84.648695
11.8,53.1,187.3,71.5,7,81.7,20.1,AUT,,1512,,,12.2,2016.0,1512.0,452642.7859,84.528409
11.8,53.1,187.3,71.5,7,81.7,20.1,AUT,,1512,,,12.2,2016.0,1512.0,51790.942027,84.528409
,52.6,184.7,72.2,7.3,81.7,20,AUT,,1511,,,12.4,2017.0,1511.0,474514.7146,84.962423
,52.6,184.7,72.2,7.3,81.7,20,AUT,,1511,,,12.4,2017.0,1511.0,53952.33384,84.962423
,,,,4.6,,,AZE,,,,,,2007.0,,,
,,,,4.8,,,AZE,,,,,,2008.0,,,
,,,,4.6,,,AZE,,,,,,2009.0,,,
,,,,4.2,,,AZE,,,,,,2010.0,,,
,,,,4.7,,,AZE,,,,,,2011.0,,,
,,,,4.9,,,AZE,,,,,,2012.0,,,
,,,,5.5,,,AZE,,,,,,2013.0,,,
,,,,5.3,,,AZE,,,,,,2014.0,,,
,,,,5.1,,,AZE,,,,,,2015.0,,,
