Time,Var,alcohol,average_wages,cancer,employment_rate,happiness,life_at_birth,life_at_old,obese,pollution,smokers,social_spending,suicide,hours_worked,gdp,education
2007,alcohol,1.0,0.5279264692386091,0.6292916767297808,0.29950336870805755,0.12690894509802783,0.24161254328950504,0.3479615347181523,0.04173287021184597,-0.4315135820552214,0.5794684487204038,0.2484497111874505,0.4838864026728247,-0.4315018849668763,0.4296323656143009,0.5419706341451226
2007,average_wages,0.5279264692386091,1.0,0.6810562641836152,-0.04140443877202709,-0.3998156382373397,-0.11842669147928768,0.17934118379830286,-0.5999279083704994,-0.2967442901598573,0.5977519242601337,-0.10354783469716114,0.5471650690029509,-0.2967475777003945,0.09576600562975301,0.8611955057748001
2007,cancer,0.6292916767297808,0.6810562641836152,1.0,0.07520385863691748,-0.25857684969802425,0.010732154873910112,0.13647886274179508,0.08449234457986152,-0.3464827434700334,0.5802250075394145,-0.013559449752355552,0.3895223909963529,-0.34648407472770554,0.1430895238777894,0.6175847346700548
2007,employment_rate,0.29950336870805755,-0.04140443877202709,0.07520385863691748,1.0,0.394415598508054,0.6061668785893831,0.5363930145112977,0.0779593841152745,-0.580077064312035,-0.2853818010764737,0.38721782857218806,0.15094728301321605,-0.5798998465442669,0.5764924631504746,0.3613228403765133
2007,happiness,0.12690894509802783,-0.3998156382373397,-0.25857684969802425,0.394415598508054,1.0,0.7189607175099337,0.010372963477137054,0.5863140348302311,-0.09192590216917253,-0.38529904160927547,0.6555757070191729,-0.5456694067799772,-0.09192138791051398,0.6927501810027128,-0.11144384933672476
2007,life_at_birth,0.24161254328950504,-0.11842669147928768,0.010732154873910112,0.6061668785893831,0.7189607175099337,1.0,0.5862524628199541,-0.5222100667786258,-0.3526204904276989,0.22174091524956624,0.5659586657842828,-0.025552113541824153,-0.3526214375277452,0.6330859789216392,0.20213528499329725
2007,life_at_old,0.3479615347181523,0.17934118379830286,0.13647886274179508,0.5363930145112977,0.010372963477137054,0.5862524628199541,1.0,-0.33104744816746895,-0.6845311375583103,0.5958092288494573,0.5422565047605789,-0.04398963661450202,-0.6845268459745213,0.6527139964840183,0.35690096139802463
2007,obese,0.04173287021184597,-0.5999279083704994,0.08449234457986152,0.0779593841152745,0.5863140348302311,-0.5222100667786258,-0.33104744816746895,1.0,0.2083791618905008,-0.48688686695822825,0.016903334048028445,-0.6395958448597721,0.20838919271878856,-0.011469518641188491,-0.39545867691182346
2007,pollution,-0.4315135820552214,-0.2967442901598573,-0.3464827434700334,-0.580077064312035,-0.09192590216917253,-0.3526204904276989,-0.6845311375583103,0.2083791618905008,1.0,-0.5235722739756202,-0.6954310949237882,-0.12367009950934789,0.9999999990359865,-0.6174729271610641,-0.41925684437452315
2007,smokers,0.5794684487204038,0.5977519242601337,0.5802250075394145,-0.2853818010764737,-0.38529904160927547,0.22174091524956624,0.5958092288494573,-0.48688686695822825,-0.5235722739756202,1.0,-0.07041346554023635,0.3513704517357239,-0.5235789731933784,0.31030033397544354,0.36912491793617663
2007,social_spending,0.2484497111874505,-0.10354783469716114,-0.013559449752355552,0.38721782857218806,0.6555757070191729,0.5659586657842828,0.5422565047605789,0.016903334048028445,-0.6954310949237882,-0.07041346554023635,1.0,-0.15313803015829106,-0.6954771343591863,0.8726632306088503,0.08327685342561925
2007,suicide,0.4838864026728247,0.5471650690029509,0.3895223909963529,0.15094728301321605,-0.5456694067799772,-0.025552113541824153,-0.04398963661450202,-0.6395958448597721,-0.12367009950934789,0.3513704517357239,-0.15313803015829106,1.0,-0.12366643325570245,0.03789358480225834,0.5396048172817056
2007,time,,,,,,,,,,,,,,,
2007,hours_worked,-0.4315018849668763,-0.2967475777003945,-0.34648407472770554,-0.5798998465442669,-0.09192138791051398,-0.3526214375277452,-0.6845268459745213,0.20838919271878856,0.9999999990359865,-0.5235789731933784,-0.6954771343591863,-0.12366643325570245,1.0,-0.6174720941057081,-0.4192637542866878
2007,gdp,0.4296323656143009,0.09576600562975301,0.1430895238777894,0.5764924631504746,0.6927501810027128,0.6330859789216392,0.6527139964840183,-0.011469518641188491,-0.6174729271610641,0.31030033397544354,0.8726632306088503,0.03789358480225834,-0.6174720941057081,1.0,0.34415738265592377
2007,education,0.5419706341451226,0.8611955057748001,0.6175847346700548,0.3613228403765133,-0.11144384933672476,0.20213528499329725,0.35690096139802463,-0.39545867691182346,-0.41925684437452315,0.36912491793617663,0.08327685342561925,0.5396048172817056,-0.4192637542866878,0.34415738265592377,1.0
