alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
,,,,,,5.3,99.9,,,AZE,,,,,,2014
,,,,,,5.1,99.9,,,AZE,,,,,,2015
,,,,,,5.3,99.9,,,AZE,,,,,,2016
,,,,,,5.2,99.9,,,AZE,,,,,,2017
,,,,,,3.6,,,,BDI,,,,,,2008
,,,,,,3.8,,,,BDI,,,,,,2009
,,,,,,,100,,,BDI,,,,,,2010
,,,,,,3.7,100,,,BDI,,,,,,2011
,,,,,,,100,,,BDI,,,,,,2012
,,,,,,,100,,,BDI,,,,,,2013
,,,,,,2.9,100,,,BDI,,,,,,2014
,,,,,,,100,,,BDI,,,,,,2015
,,,,,,,100,,,BDI,,,,,,2016
,,,,,,,100,,,BDI,,,,,,2017
10.3,35.9,220.5,50575.4,62,36871.6,7.2,,79.9,19.1,BEL,,1577,,10108.8,16.7,2007
10.5,37.3,222,50725,62.4,38133.4,7.1,,79.8,19.1,BEL,47.5,1570,20.5,10663.7,17.9,2008
10.1,37.2,216.4,51159.3,61.6,38010.5,,,80.1,19.4,BEL,,1548,,11244.1,17.9,2009
10.3,35.5,217.1,50872.5,62,40050.4,6.9,99.6,80.3,19.4,BEL,,1546,,11338.9,17.8,2010
10.1,36.7,213.6,51204.9,61.9,41450.4,7.1,99.5,80.7,19.8,BEL,,1560,,11621,18.1,2011
10.1,36.3,207,51550.6,61.8,42585.2,6.9,98.7,80.5,19.5,BEL,,1560,,11551.8,17.4,2012
10.3,37.2,205,52221.6,61.8,43746,7.1,97.8,80.7,19.6,BEL,48.1,1558,18.9,11727.6,16.2,2013
10.6,36.7,199.4,52514.3,61.9,44720.5,6.9,95.8,81.4,20.1,BEL,51,1545,,11915.6,16.1,2014
10.4,37.8,197.5,52120.1,61.8,45739.2,6.9,96.3,81.1,19.9,BEL,,1545,,11917.4,15.8,2015
,37.6,193.9,51951.7,62.3,47366.4,6.9,93.3,81.5,20.1,BEL,,1545,,,15.9,2016
,36.5,,51736.1,63.1,49525.7,6.9,93.5,81.6,20.2,BEL,,1545,,,,2017
,,,,,,3.7,,,,BEN,,,,,,2008
,,,,,,,100,,,BEN,,,,,,2010
,,,,,,3.9,100,,,BEN,,,,,,2011
,,,,,,3.2,100,,,BEN,,,,,,2012
,,,,,,3.5,100,,,BEN,,,,,,2013
,,,,,,3.3,100,,,BEN,,,,,,2014
,,,,,,3.6,100,,,BEN,,,,,,2015
,,,,,,4,100,,,BEN,,,,,,2016
,,,,,,4.9,100,,,BEN,,,,,,2017
,,,,,,4,,,,BFA,,,,,,2007
,,,,,,3.8,,,,BFA,,,,,,2008
,,,,,,4,100,,,BFA,,,,,,2010
,,,,,,4.8,100,,,BFA,,,,,,2011
,,,,,,4,100,,,BFA,,,,,,2012
,,,,,,3.3,100,,,BFA,,,,,,2013
,,,,,,3.5,100,,,BFA,,,,,,2014
,,,,,,4.4,100,,,BFA,,,,,,2015
,,,,,,4.2,100,,,BFA,,,,,,2016
,,,,,,4.6,100,,,BFA,,,,,,2017
,,,,,,4.6,,,,BGD,,,,,,2007
,,,,,,5.1,,,,BGD,,,,,,2008
,,,,,,5.1,,,,BGD,,,,,,2009
,,,,,,4.9,100,,,BGD,,,,,,2010
,,,,,,5,100,,,BGD,,,,,,2011
,,,,,,4.7,100,,,BGD,,,,,,2012
,,,,,,4.7,100,,,BGD,,,,,,2013
,,,,,,4.6,100,,,BGD,,,,,,2014
,,,,,,4.6,100,,,BGD,,,,,,2015
,,,,,,4.6,100,,,BGD,,,,,,2016
,,,,,,4.3,100,,,BGD,,,,,,2017
,,,,,12609.7,3.8,,,,BGR,,,,,,2007
,,,,,14083,,,,,BGR,,,,,,2008
,,,,,13883.8,,,,,BGR,,,,,,2009
,,,,,14659.1,3.9,99.9,,,BGR,,,,,,2010
,,,,,15676.1,3.9,99.9,,,BGR,,,,,,2011
,,,,,16208.3,4.2,99.9,,,BGR,,,,,,2012
,,,,,16570.9,4,99.9,,,BGR,,,,,,2013
,,,,,17534.3,4.4,99.9,,,BGR,,,,,,2014
,,,,,18186.5,4.9,99.9,,,BGR,,,,,,2015
,,,,,19500.4,4.8,99.8,,,BGR,,,,,,2016
,,,,,20948.2,5.1,99.8,,,BGR,,,,,,2017
,,,,,,5.7,,,,BHR,,,,,,2009
,,,,,,5.9,100,,,BHR,,,,,,2010
,,,,,,4.8,100,,,BHR,,,,,,2011
,,,,,,5,100,,,BHR,,,,,,2012
,,,,,,6.7,100,,,BHR,,,,,,2013
,,,,,,6.2,100,,,BHR,,,,,,2014
,,,,,,6,100,,,BHR,,,,,,2015
,,,,,,6.2,100,,,BHR,,,,,,2016
,,,,,,6.2,100,,,BHR,,,,,,2017
,,,,,,4.9,,,,BIH,,,,,,2007
,,,,,,5,,,,BIH,,,,,,2009
,,,,,,4.7,100,,,BIH,,,,,,2010
,,,,,,5,100,,,BIH,,,,,,2011
,,,,,,4.8,100,,,BIH,,,,,,2012
,,,,,,5.1,100,,,BIH,,,,,,2013
,,,,,,5.2,100,,,BIH,,,,,,2014
,,,,,,5.1,100,,,BIH,,,,,,2015
,,,,,,5.2,100,,,BIH,,,,,,2016
,,,,,,5.1,100,,,BIH,,,,,,2017
,,,,,,5.6,,,,BLR,,,,,,2007
,,,,,,5.5,,,,BLR,,,,,,2008
,,,,,,5.6,,,,BLR,,,,,,2009
,,,,,,5.5,100,,,BLR,,,,,,2010
,,,,,,5.2,100,,,BLR,,,,,,2011
,,,,,,5.7,100,,,BLR,,,,,,2012
,,,,,,5.9,100,,,BLR,,,,,,2013
,,,,,,5.8,100,,,BLR,,,,,,2014
,,,,,,5.7,100,,,BLR,,,,,,2015
,,,,,,5.2,100,,,BLR,,,,,,2016
,,,,,,5.6,99.9,,,BLR,,,,,,2017
,,,,,,6.5,,,,BLZ,,,,,,2007
,,,,,,6,,,,BLZ,,,,,,2014
,,,,,,5.6,,,,BOL,,,,,,2007
,,,,,,5.3,,,,BOL,,,,,,2008
,,,,,,6.1,,,,BOL,,,,,,2009
,,,,,,5.8,100,,,BOL,,,,,,2010
,,,,,,5.8,100,,,BOL,,,,,,2011
,,,,,,6,100,,,BOL,,,,,,2012
,,,,,,5.8,100,,,BOL,,,,,,2013
,,,,,,5.9,100,,,BOL,,,,,,2014
,,,,,,5.8,100,,,BOL,,,,,,2015
,,,,,,5.8,100,,,BOL,,,,,,2016
,,,,,,5.7,100,,,BOL,,,,,,2017
7.1,27.2,161.1,,,12632.6,6.3,,72.8,17.5,BRA,,,15.6,,5.4,2007
7.1,28,161.4,,,13396.4,6.7,,73.2,17.6,BRA,,,14.8,,5.5,2008
7.2,29.8,160.7,,,13343.5,7,,73.5,17.7,BRA,,,14.3,,5.5,2009
7.4,,162.3,,,14382.8,6.8,91.4,73.9,17.8,BRA,,,14.1,,5.4,2010
7.4,31.7,161.4,,,15131.7,7,92.3,74.2,17.5,BRA,,,13.4,,5.6,2011
7.3,32,162,,,15572.8,6.7,87.5,74.5,17.9,BRA,,,12.1,,5.8,2012
7.1,32.7,161.2,,,16163,7.1,85.9,74.8,17.9,BRA,,,11.3,,5.8,2013
7.2,33,160.3,,,16396.2,7,77.9,75,18.1,BRA,,,8.7,,5.7,2014
7,34.1,161.2,,,15847.6,6.5,75.5,75.3,18.2,BRA,,,7.2,,6,2015
6.3,33.6,,,,15385.8,6.4,68.1,75.5,,BRA,,,10.2,,,2016
,34.1,,,,15651.4,6.3,68.3,75.7,,BRA,,,10.1,,,2017
,,,,,,,1.3,,,BRN,,,,,,2010
,,,,,,,1.3,,,BRN,,,,,,2011
,,,,,,,1.3,,,BRN,,,,,,2012
,,,,,,,0,,,BRN,,,,,,2013
,,,,,,,0,,,BRN,,,,,,2014
,,,,,,,0,,,BRN,,,,,,2015
,,,,,,,0,,,BRN,,,,,,2016
,,,,,,,0,,,BRN,,,,,,2017
,,,,,,,100,,,BTN,,,,,,2010
,,,,,,,100,,,BTN,,,,,,2011
,,,,,,,100,,,BTN,,,,,,2012
