LOCATION;TIME;Pollution
DZA;2010;99.8
DZA;2011;99.8
DZA;2012;99.8
DZA;2013;99.8
DZA;2014;99.8
DZA;2015;99.8
DZA;2016;99.8
DZA;2017;99.8
ECU;2010;100
ECU;2011;100
ECU;2012;100
ECU;2013;99.9
ECU;2014;99.8
ECU;2015;99.6
ECU;2016;99.2
ECU;2017;98.9
EGY;2010;99.9
EGY;2011;99.9
EGY;2012;99.9
EGY;2013;99.9
EGY;2014;99.9
EGY;2015;99.9
EGY;2016;99.9
EGY;2017;99.9
ERI;2010;99.5
ERI;2011;99.5
ERI;2012;99.5
ERI;2013;99.5
ERI;2014;99.5
ERI;2015;99.5
ERI;2016;99.5
ERI;2017;99.5
ESP;2010;74.3
ESP;2011;80.2
ESP;2012;70.6
ESP;2013;65.3
ESP;2014;53.1
ESP;2015;60.5
ESP;2016;46
ESP;2017;46.4
EST;2010;6.2
EST;2011;6
EST;2012;1.8
EST;2013;0.7
EST;2014;0.7
EST;2015;0
EST;2016;0
EST;2017;0
ETH;2010;100
ETH;2011;100
ETH;2012;100
ETH;2013;100
ETH;2014;100
ETH;2015;100
ETH;2016;100
ETH;2017;100
EU2;2010;90.2
EU2;2011;91.3
EU2;2012;88.3
EU2;2013;87.1
EU2;2014;82.9
EU2;2015;83.7
EU2;2016;78.5
EU2;2017;78.5
FIN;2010;1.3
FIN;2011;1.3
FIN;2012;0
FIN;2013;0
FIN;2014;0
FIN;2015;0
FIN;2016;0
FIN;2017;0
FJI;2010;77.5
FJI;2011;77.5
FJI;2012;77.5
FJI;2013;77.4
FJI;2014;77.4
FJI;2015;77.2
FJI;2016;71
FJI;2017;63.1
FRA;2010;99.3
FRA;2011;99.4
FRA;2012;98.5
FRA;2013;97.5
FRA;2014;88.8
FRA;2015;91
FRA;2016;79.8
FRA;2017;79.8
G20;2010;91.9
G20;2011;92.8
G20;2012;90.6
G20;2013;89.5
G20;2014;87.8
G20;2015;87.6
G20;2016;85.9
G20;2017;85.9
G7M;2010;67.9
G7M;2011;71.8
G7M;2012;62.9
G7M;2013;59.4
G7M;2014;53
G7M;2015;52.1
G7M;2016;46.1
G7M;2017;46.2
GAB;2010;99.4
GAB;2011;99.4
GAB;2012;99.4
GAB;2013;99.4
GAB;2014;99.4
GAB;2015;99.4
GAB;2016;99.4
GAB;2017;99.4
GBR;2010;86.9
GBR;2011;89.4
GBR;2012;83.8
GBR;2013;81.5
GBR;2014;71
GBR;2015;70.8
GBR;2016;65.6
GBR;2017;65
GEO;2010;99.8
GEO;2011;99.8
GEO;2012;99.8
GEO;2013;99.8
GEO;2014;99.8
GEO;2015;99.8
GEO;2016;99.8
GEO;2017;99.8
GHA;2010;99.7
GHA;2011;99.7
GHA;2012;99.7
GHA;2013;99.7
GHA;2014;99.7
GHA;2015;99.7
GHA;2016;99.7
GHA;2017;99.7
GIN;2010;99.8
GIN;2011;99.8
GIN;2012;99.8
GIN;2013;99.8
GIN;2014;99.8
GIN;2015;99.8
GIN;2016;99.8
GIN;2017;99.8
GMB;2010;100
GMB;2011;100
GMB;2012;100
GMB;2013;100
GMB;2014;100
GMB;2015;100
GMB;2016;100
GMB;2017;100
GNB;2010;99.3
GNB;2011;99.3
GNB;2012;99.3
GNB;2013;99.3
GNB;2014;99.3
GNB;2015;99.3
GNB;2016;99.3
GNB;2017;99.3
GNQ;2010;99.1
GNQ;2011;99.1
GNQ;2012;99.1
GNQ;2013;99.1
GNQ;2014;99.1
GNQ;2015;99.1
GNQ;2016;99.1
GNQ;2017;99.1
GRC;2010;99.6
GRC;2011;99.6
GRC;2012;99.6
GRC;2013;99.6
GRC;2014;99.6
GRC;2015;99.6
GRC;2016;99.6
GRC;2017;99.6
GTM;2010;100
GTM;2011;100
GTM;2012;100
GTM;2013;100
GTM;2014;100
GTM;2015;100
GTM;2016;100
GTM;2017;100
HKG;2010;99.4
HKG;2011;99.4
HKG;2012;99.4
HKG;2013;99.4
HKG;2014;99.4
HKG;2015;99.4
HKG;2016;99.4
HKG;2017;99.4
HND;2010;99.8
HND;2011;99.8
HND;2012;99.8
HND;2013;99.8
HND;2014;99.8
HND;2015;99.8
HND;2016;99.8
HND;2017;99.8
HRV;2010;98.2
HRV;2011;98.2
HRV;2012;98.2
HRV;2013;98.2
HRV;2014;98.2
HRV;2015;98.2
HRV;2016;97.8
HRV;2017;97.8
HTI;2010;99.8
HTI;2011;99.8
HTI;2012;99.8
HTI;2013;99.8
HTI;2014;99.8
HTI;2015;99.8
HTI;2016;99.8
HTI;2017;99.8
HUN;2010;100
HUN;2011;100
HUN;2012;100
HUN;2013;100
HUN;2014;100
HUN;2015;100
HUN;2016;100
HUN;2017;100
IDN;2010;95.8
IDN;2011;97.4
IDN;2012;98.4
IDN;2013;93.3
IDN;2014;93.8
IDN;2015;95.2
IDN;2016;94.8
IDN;2017;94.8
IND;2010;99.9
IND;2011;99.9
IND;2012;99.9
IND;2013;99.9
IND;2014;99.9
IND;2015;99.9
IND;2016;99.9
IND;2017;99.9
IRL;2010;52.5
IRL;2011;60.3
IRL;2012;31.6
IRL;2013;29.1
IRL;2014;6
IRL;2015;5.2
IRL;2016;2.3
IRL;2017;2.3
IRN;2010;99.9
IRN;2011;99.9
IRN;2012;99.9
IRN;2013;99.9
IRN;2014;99.9
IRN;2015;99.9
IRN;2016;99.9
IRN;2017;99.9
IRQ;2010;100
IRQ;2011;100
IRQ;2012;100
IRQ;2013;100
IRQ;2014;100
IRQ;2015;100
IRQ;2016;100
IRQ;2017;100
ISL;2010;23.4
ISL;2011;23.6
ISL;2012;7
ISL;2013;6.9
ISL;2014;6.4
ISL;2015;6.4
ISL;2016;5.9
ISL;2017;5.7
ISR;2010;100
ISR;2011;100
ISR;2012;100
ISR;2013;100
ISR;2014;100
ISR;2015;100
ISR;2016;100
ISR;2017;100
ITA;2010;97.8
ITA;2011;98.1
ITA;2012;97.5
ITA;2013;97.1
ITA;2014;96.4
ITA;2015;96.6
ITA;2016;94.5
ITA;2017;94.7
JAM;2010;98.7
JAM;2011;98.7
JAM;2012;98.7
JAM;2013;98.7
JAM;2014;98.7
JAM;2015;98.7
JAM;2016;98.7
JAM;2017;98.7
JOR;2010;100
JOR;2011;100
JOR;2012;100
JOR;2013;100
JOR;2014;100
JOR;2015;100
JOR;2016;100
JOR;2017;100
JPN;2010;93.4
JPN;2011;93.3
JPN;2012;90
JPN;2013;90.4
JPN;2014;88.2
JPN;2015;89
JPN;2016;79.4
JPN;2017;80.6
KAZ;2010;98.4
KAZ;2011;98.4
KAZ;2012;97.9
KAZ;2013;97.4
KAZ;2014;95.5
KAZ;2015;95.9
KAZ;2016;92.3
KAZ;2017;92.2
KEN;2010;100
KEN;2011;100
KEN;2012;100
KEN;2013;100
KEN;2014;100
KEN;2015;100
KEN;2016;100
KEN;2017;100
KGZ;2010;100
KGZ;2011;100
KGZ;2012;100
KGZ;2013;100
KGZ;2014;99
KGZ;2015;99.6
KGZ;2016;97.5
KGZ;2017;97.9
KHM;2010;100
KHM;2011;100
KHM;2012;100
KHM;2013;100
KHM;2014;100
KHM;2015;100
KHM;2016;100
KHM;2017;100
KOR;2010;99.2
KOR;2011;99.2
KOR;2012;99.2
KOR;2013;99.2
KOR;2014;99.2
