alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
10.8,34.4,203,50565.4,72.8,39612.9,7.3,-1,81.4,20.1,AUS,58.6,1722.6,16.9,6612.4,10.6,2007
10.6,33.8,207.9,50973.2,73.2,40094.8,7.3,-1,81.5,20.1,AUS,-1,1720.9,-1,7097.9,10.9,2008
10.5,34.1,200.8,50511,72.1,41613.6,-1,-1,81.6,20.2,AUS,-1,1692.3,-1,7066.6,10.7,2009
10.3,35.6,201.8,52253,72.4,42812.1,7.5,34.1,81.8,20.4,AUS,-1,1699.9,15.4,6997,10.9,2010
10,35.7,199.6,53905.8,72.7,44419.3,7.4,37.6,82,20.6,AUS,63.4,1699.9,-1,7342.4,10.7,2011
9.9,35.2,193.1,54226.2,72.3,43879.2,7.2,31.7,82.1,20.6,AUS,-1,1692.5,-1,7514.1,11.4,2012
9.8,36.2,192.3,53977.4,72,47761.2,7.4,29.7,82.2,20.6,AUS,-1,1689.4,13,7744.2,11.3,2013
9.5,35.2,187.8,54391.8,71.6,47638.6,7.3,28.3,82.4,20.8,AUS,63.4,1683.3,-1,8095.5,12.5,2014
9.7,36.1,190.4,53946.3,72.2,47351,7.3,27.4,82.5,20.9,AUS,-1,1683.5,-1,8328.1,12.9,2015
9.4,36.2,185,53971.6,72.4,50262.6,7.3,26,82.5,20.9,AUS,-1,1673.4,12.4,8029.1,11.9,2016
-1,35.6,-1,53507.3,73,51993.8,7.3,26,82.6,21,AUS,56.4,1674.9,-1,-1,-1,2017
12.9,54.8,207.1,48644.6,69.9,39394,-1,-1,80.3,19.2,AUT,-1,1612,-1,10695.2,14.6,2007
12.4,54.7,212,49509.4,70.8,41316,7.2,-1,80.5,19.4,AUT,-1,1605,-1,11001.9,14.1,2008
12.1,54.7,206.8,50312.2,70.3,40935.5,-1,-1,80.4,19.4,AUT,-1,1564,-1,11370.2,14.1,2009
12.5,54.6,204,50096.7,70.8,42017.8,7.3,98.8,80.7,19.6,AUT,-1,1557,-1,11592.2,13.9,2010
12.2,54.4,202.9,49578.9,71.1,44469.2,7.5,99.4,81.1,19.9,AUT,-1,1562,-1,11538.8,14.1,2011
