TIME,Average Wages,Hours worked,Education,Pollution,GDP,Happiness,Social spending,Employment rate,Alcohol,Smokers,Cancer,Suicide,LifeAtOld,LifeAtBirth,Obese
2010,36.5,100.0,34997.4,1956.5,28872.4,7.4,4452.3,60.2,2.6,18.5,189.2,7.4,2005.0,81.7,49.8
2013,37.6,100.0,33428.2,1908.2,34160.4,7.3,4729.1,67.1,2.9,16.2,179.8,5.5,2025.0,82.1,51.8
2014,36.8,100.0,33516.0,1894.5,34228.1,7.4,4808.6,67.9,2.7,17.1,178.8,5.5,2035.0,82.2,54.5
2016,36.9,100.0,35701.4,1922.1,37474.7,7.2,4928.0,68.6,2.6,19.6,171.4,5.4,2055.0,82.5,53.1
2010,40.4,97.8,39051.1,1777.3,34685.0,6.4,9417.1,56.8,7.0,23.1,207.1,5.8,202.0,82.1,46.0
2011,41.1,98.1,38438.7,1773.3,35935.5,6.1,9323.7,56.8,7.0,22.5,207.3,6.2,2035.0,82.3,45.8
2012,41.5,97.5,37279.1,1734.2,35757.0,5.8,9283.3,56.6,7.5,22.1,205.4,6.3,203.0,82.3,46.0
2013,41.9,97.1,37338.3,1719.5,35885.4,6.0,9266.8,55.5,7.4,21.1,199.3,6.3,2075.0,82.8,45.8
2014,42.4,96.4,37481.9,1717.1,36070.8,6.0,9320.3,55.7,7.6,19.7,195.9,6.0,210.0,83.2,46.4
2015,42.3,96.6,37793.1,1718.0,36836.4,5.8,9456.9,56.3,7.1,19.8,194.4,5.7,2055.0,82.6,45.2
2010,41.9,99.2,34955.6,2163.0,30365.3,6.1,2495.8,63.4,9.0,22.9,193.7,33.5,190.0,80.2,30.2
2010,41.9,99.2,34955.6,2163.0,30365.3,6.1,2495.8,63.4,9.0,22.9,193.7,33.5,190.0,80.2,22.6
2011,41.1,99.2,35294.6,2136.0,31228.3,6.9,2545.1,63.9,8.9,23.2,185.1,33.3,193.0,80.6,30.7
2011,41.1,99.2,35294.6,2136.0,31228.3,6.9,2545.1,63.9,8.9,23.2,185.1,33.3,193.0,80.6,23.3
2012,40.8,99.2,34864.2,2119.0,32097.1,6.0,2769.5,64.3,9.1,21.6,183.3,29.1,1935.0,80.9,31.8
2012,40.8,99.2,34864.2,2119.0,32097.1,6.0,2769.5,64.3,9.1,21.6,183.3,29.1,1935.0,80.9,24.1
2013,40.6,99.2,35528.8,2106.0,32615.7,6.0,3018.5,64.6,8.7,19.9,178.9,28.7,1975.0,81.4,31.5
2013,40.6,99.2,35528.8,2106.0,32615.7,6.0,3018.5,64.6,8.7,19.9,178.9,28.7,1975.0,81.4,24.4
2014,40.5,99.2,35321.1,2076.0,33587.4,5.8,3233.5,65.6,8.9,20.0,175.0,26.7,201.0,81.8,30.8
2014,40.5,99.2,35321.1,2076.0,33587.4,5.8,3233.5,65.6,8.9,20.0,175.0,26.7,201.0,81.8,25.0
2015,40.4,99.2,35949.1,2083.0,35760.7,5.8,3493.3,65.9,9.1,17.3,168.4,25.8,203.0,82.1,33.4
2015,40.4,99.2,35949.1,2083.0,35760.7,5.8,3493.3,65.9,9.1,17.3,168.4,25.8,203.0,82.1,26.1
2016,40.1,99.2,37165.1,2068.0,37142.6,6.0,3687.0,66.1,8.7,18.4,165.2,24.6,205.0,82.4,34.5
2016,40.1,99.2,37165.1,2068.0,37142.6,6.0,3687.0,66.1,8.7,18.4,165.2,24.6,205.0,82.4,27.3
2014,54.5,100.0,21367.7,1599.0,28174.3,6.1,3901.2,65.7,14.2,20.3,224.5,29.8,169.0,74.7,53.3
2010,42.2,99.9,62131.6,1517.0,85514.9,7.1,19806.9,65.2,11.8,18.3,209.9,10.3,1945.0,80.7,59.1
2011,40.2,99.9,61213.3,1515.0,91814.0,7.1,18173.0,64.6,12.1,16.9,207.9,10.4,197.0,81.1,60.2
2012,39.2,92.8,60707.1,1508.0,91526.7,7.0,19116.4,65.8,12.0,16.8,205.5,9.4,199.0,81.5,59.2
2013,39.8,91.8,61305.5,1503.0,95246.1,7.1,19474.1,65.7,11.7,15.7,189.1,7.3,205.0,81.9,58.1
2014,36.0,80.7,63606.7,1506.0,100933.6,6.9,19496.7,66.6,11.8,15.3,199.9,11.8,2055.0,82.3,58.1
2014,36.0,80.7,63606.7,1506.0,100933.6,6.9,19496.7,66.6,11.8,15.3,199.9,11.8,2055.0,82.3,48.0
2014,56.4,96.4,20429.5,1741.0,23802.4,5.7,3282.5,66.3,10.6,24.1,240.7,18.1,164.0,74.3,54.6
2014,56.4,96.4,20429.5,1741.0,23802.4,5.7,3282.5,66.3,10.6,24.1,240.7,18.1,164.0,74.3,52.0
2012,18.3,99.8,16050.3,2120.0,17220.1,7.3,1157.6,60.9,3.9,11.8,120.2,4.9,1765.0,74.4,71.3
